MTGF_PA,#72A82A
HGNET_EP300,#BE51F5
MTGF_ATRT,#857239
MTGF_MB_G3G4,#D6AB6B
GBM_pedRTK2,#e5f5e0
GBM_pedMYCN,#a1d99b
GBM_pedRTK1c,#31a354
GBM_pedRTK2b,#7fcdbb
GBM_THAL(K27),#78c679
HGG_chr6CTX_A,#fbb4b9
SP-EPN-MYCN,#dfc27d
HGG_chr6CTX_B,#f768a1
EP300-BCOR,#980043
GBM_pedRTK1b,#ffffcc
GBM_pedRTK1a,#c2e699
MYXGNT,#43a2ca
HGNET_NOS2,#0868ac
GBM_CBM,#31a354
CNS_SCS_DICER,#dd1c77
MCF_IDH_GLM,#D4D448
0,#D2BDDC
MCF_GBM,#0D075C
AGG,#087C40
 ,#D2BDDC
SCLC,#95E184
BRST_CARC,#DB7093
SP-EPN-MYCN ,#dfc27d
APA_NOS,#4F6193
NB,#055519
SEM,#68F3FA
CHRCC,#E95C76
HLRCC,#BB243C
CCRCC,#9196E6
NSCLC,#95E184
SARC_RMS_L,#7936A7
HYBRD,#C8F3CD
PROS_CARC,#D3E4CF
RMC,#87EBEC
MCF_PA,#5F09B5
GBM_RTK1,#81D785
AO_NOS,#E0DEB4
CPC,#B9E7E2
DMT,#F5C646
ECRT,#2EFDB4
EST,#747509
DLGNT_2,#BB243C
DNET,#D32950
EMB_ND_A,#0D075C
ENB,#BA9BD4
EPN_PF_SE,#6CCC6E
EPN_PFA_1a,#C8F3CD
EPN_PFA_1b,#E2F9E5
EPN_PFA_1c,#0B2FAB
EPN_PFA_1d,#81D785
EPN_PFA_1e,#98E29D
EPN_PFA_1f,#AFEBB5
EPN_PFA_2a,#9452FF
EPN_PFA_2b,#D9D9F8
EPN_PFA_2c,#A564FF
EPN_PFB_1,#C7ADD7
EPN_PFB_2,#B679FF
EPN_PFB_3,#BD7F32
EPN_PFB_4,#D58439
EPN_PFB_5,#FEF1DC
EPN_RELA_Like_A,#C78FFF
EPN_RELA_Like_B,#D7A8FF
EPN_RELA_Like_C,#8E49E2
EPN_SPINE_MYCN,#E09850
EPN_SPINE_SE_A,#7936A7
EPN_SPINE_SE_B,#A4772C
EPN_ST_ND_A,#543D4D
EPN_ST_SE,#0A1384
ETMR_Atyp,#0D2FAB
ETMR_C19MC,#2A46BC
EVNCYT,#090970
GBM_MES_Atyp,#0A2F54
GBM_MES_Typ,#D2BDDC
GBM_ped_ND_A,#BABBB9
GBM_ped_ND_B,#DF4162
GBM_pedRTK2a,#FCE2BC
GBM_RTK2,#E5F1E8
GBM_THAL_EGFR,#31959E
GCT_GERM_A,#38B4B5
GCT_GERM_B,#3FCDC5
GCT_TERA,#87EBEC
GCT_YOLKSAC,#A2F1F3
GG,#55D9D5
GNT_ND,#6DE4E2
HGAP,#BFF6F9
HGNET_BCOR_Fus,#6F506D
HGNET_BCOR_ITD,#404430
HGNET_BEND2,#6C5C31
HGNET_CXXC5,#82582F
HGNET_ND_A,#AFECB2
HGNET_ND_B,#BEECC3
HGNET_ND_C,#E5C2FF
HGNET_ND_D,#0A1384
HGNET_PATZ,#2A46BC
HGNET_PLAG,#EAAC68
IO_MEPL,#DCCDE1
LGG_MYB_A,#F896A4
LGG_MYB_B,#8E49E2
LGG_MYB_C,#853FC4
LGG_MYB_D,#A3202B
MB_G34_I,#CA3E51
MB_G34_II,#FF9400
ABC,#EA34D8
ACC,#D516D5
ADMAN,#652AEC
ADRNL_AD,#5F09B5
ADRNL_UNK,#DA121D
AK,#384D6E
ALM,#8E9452
APXA_NOS,#13B3E0
ATC,#DBE5BB
ATUMP,#660024
CB,#564D73
CC_OV,#A477E2
CERV_ADSQ,#30B6E4
CHMYX_FIB,#E5DBDF
CHOL,#BCDE69
CONTR_ADIP,#744307
CONTR_ADREN_CORT,#4A9D13
CONTR_ADREN_MED,#D6A978
CONTR_AMN_MEM,#94306C
CONTR_BD,#176872
CONTR_BLAD,#1ABA78
CONTR_BONE,#2D254F
CONTR_BRST,#115A18
CONTR_CART,#13E3B4
CONTR_CERV,#316558
CONTR_CHOR_MEM,#702F7D
CONTR_CHOROID,#6A5B9D
CONTR_ESO,#F017D4
CONTR_LARYN,#675A79
CONTR_LUNG,#713755
CONTR_NERVE,#3BA075
CONTR_ORO,#7492CC
CONTR_OV,#18ABAC
CONTR_PANC,#7BBE8D
CONTR_PLAC,#F05896
CONTR_PLEURA,#D29B34
CONTR_PROS,#48D1CC
CONTR_RETINA,#5860DA
CONTR_SKIN,#BB1205
CONTR_THYM,#EA8249
CONTR_THYR,#3A7B73
CONTR_TONS,#ED1910
CONTR_UTERUS,#AC3844
CPAM,#D43279
CR_AD,#715CCF
CRC_CARC,#BCC117
CSA,#EFB55E
CSA_NOS,#4DECB6
DCIS,#1447F3
EC_MUC_CARC,#15EA87
EMBRY_CARC,#3B05ED
ENDO_CERV_CARC,#5F6335
ENDOM_CARC,#9D60F0
ENDOM_CARC_OV,#3FBF4B
ENDOM_CARC_UT,#A6F94F
ENDOM_HYP,#3E206D
ESO_CARC,#5E58E2
ESO_DYS,#CD6426
FA,#AC7EB6
FC,#8285F7
GAST_CARC,#44646A
GASTR_IM,#7DCD9B
HCC,#E65DE5
HGPIN,#BB9F12
HGSC_OV,#0180CC
IPMN,#8E7408
IPNBD,#FFA07A
ITPNBD,#72DCFA
LPS,#7B68EE
LUAD,#7D7070
LUASCC,#7D7055
LUNG_LCA,#6B10BF
LUSCC,#B0C4DE
MCC,#6DB85A
MEL_DESM,#18CFB5
MELAN_ACR,#D27AA6
MELAN_CUT,#8B9644
MESO,#B81BAA
MGCT,#D2B48C
MMMT,#3F1AD7
MNG_ANA,#C2FC28
MP_BRST_CARC,#484023
MUC_CARC_BRST,#6ED1DA
MUC_CARC_OV,#77C475
NEV_ACR,#7E4A80
NEVUS,#1D385C
NFA,#D2F8FA
NFB,#B1BC2D
NFB_PLEX,#6AA91F
NIFTN_PNC,#098875
NL_MELAN_ACR,#2C42CF
NOD_GOIT,#A5F8A2
OV_SER_CARC,#A58952
PAN_NET,#38B4B5
PANC_ADSCC,#FEF15B
PANC_UAC,#5EEE16
PANCR_CARC,#38CBA1
PEAD,#2DD8FC
PECOMA,#35BC1E
PIN,#02D190
PPB,#D31B28
PRAD,#2ABE85
PROS_ATROPHY,#8715C4
PTC,#8F1F10
PTMT,#8E7416
RB,#1175C2
SARC_MPNST_L,#A9F2D8
SCC_CERV,#C9BFFC
SCC_ESO,#24C063
SCC_LARYN,#C46747
SCC_ORO,#D86C7E
SCC_OV_HCT,#E53547
SCC_SINO,#3D9F07
SINO_INV_PAP,#D1D69B
SINO_SARC,#E89368
SINO_UNDIFF,#E8B151
SRBCT_CIC,#B11A0B
SS,#7936A7
TERA,#D9D9F8
TGCT,#214571
THYM,#222021
UCS,#550630
